n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.734375
1,uniform,manhattan,1.0,0.7734375
1,uniform,chebyshev,1.0,0.6796875
1,uniform,minkowski,1.0,0.734375
1,distance,euclidean,1.0,0.734375
1,distance,manhattan,1.0,0.7734375
1,distance,chebyshev,1.0,0.6796875
1,distance,minkowski,1.0,0.734375
2,uniform,euclidean,0.8414872798434442,0.7734375
2,uniform,manhattan,0.8395303326810176,0.7578125
2,uniform,chebyshev,0.8434442270058709,0.7109375
2,uniform,minkowski,0.8414872798434442,0.7734375
2,distance,euclidean,1.0,0.734375
2,distance,manhattan,1.0,0.7734375
2,distance,chebyshev,1.0,0.6796875
2,distance,minkowski,1.0,0.734375
3,uniform,euclidean,0.8336594911937377,0.71875
3,uniform,manhattan,0.8454011741682974,0.734375
3,uniform,chebyshev,0.8317025440313112,0.703125
3,uniform,minkowski,0.8336594911937377,0.71875
3,distance,euclidean,1.0,0.71875
3,distance,manhattan,1.0,0.734375
3,distance,chebyshev,1.0,0.6953125
3,distance,minkowski,1.0,0.71875
4,uniform,euclidean,0.8062622309197651,0.7578125
4,uniform,manhattan,0.8180039138943248,0.7421875
4,uniform,chebyshev,0.7925636007827789,0.734375
4,uniform,minkowski,0.8062622309197651,0.7578125
4,distance,euclidean,1.0,0.734375
4,distance,manhattan,1.0,0.734375
4,distance,chebyshev,1.0,0.71875
4,distance,minkowski,1.0,0.734375
5,uniform,euclidean,0.8180039138943248,0.7421875
5,uniform,manhattan,0.8043052837573386,0.7109375
5,uniform,chebyshev,0.7671232876712328,0.7265625
5,uniform,minkowski,0.8180039138943248,0.7421875
5,distance,euclidean,1.0,0.75
5,distance,manhattan,1.0,0.71875
5,distance,chebyshev,1.0,0.7109375
5,distance,minkowski,1.0,0.75
6,uniform,euclidean,0.7632093933463796,0.7578125
6,uniform,manhattan,0.7651663405088063,0.7578125
6,uniform,chebyshev,0.7338551859099804,0.7421875
6,uniform,minkowski,0.7632093933463796,0.7578125
6,distance,euclidean,1.0,0.75
6,distance,manhattan,1.0,0.7421875
6,distance,chebyshev,1.0,0.71875
6,distance,minkowski,1.0,0.75
7,uniform,euclidean,0.7592954990215264,0.6953125
7,uniform,manhattan,0.7710371819960861,0.7265625
7,uniform,chebyshev,0.7279843444227005,0.671875
7,uniform,minkowski,0.7592954990215264,0.6953125
7,distance,euclidean,1.0,0.7109375
7,distance,manhattan,1.0,0.75
7,distance,chebyshev,1.0,0.703125
7,distance,minkowski,1.0,0.7109375
8,uniform,euclidean,0.7475538160469667,0.7109375
8,uniform,manhattan,0.7455968688845401,0.7265625
8,uniform,chebyshev,0.7142857142857143,0.703125
8,uniform,minkowski,0.7475538160469667,0.7109375
8,distance,euclidean,1.0,0.7109375
8,distance,manhattan,1.0,0.7265625
8,distance,chebyshev,1.0,0.6875
8,distance,minkowski,1.0,0.7109375
9,uniform,euclidean,0.7436399217221135,0.6953125
9,uniform,manhattan,0.7553816046966731,0.703125
9,uniform,chebyshev,0.7201565557729941,0.7109375
9,uniform,minkowski,0.7436399217221135,0.6953125
9,distance,euclidean,1.0,0.7109375
9,distance,manhattan,1.0,0.71875
9,distance,chebyshev,1.0,0.734375
9,distance,minkowski,1.0,0.7109375
10,uniform,euclidean,0.7495107632093934,0.7109375
10,uniform,manhattan,0.7338551859099804,0.7109375
10,uniform,chebyshev,0.7025440313111546,0.6875
10,uniform,minkowski,0.7495107632093934,0.7109375
10,distance,euclidean,1.0,0.7265625
10,distance,manhattan,1.0,0.71875
10,distance,chebyshev,1.0,0.71875
10,distance,minkowski,1.0,0.7265625
11,uniform,euclidean,0.7416829745596869,0.6875
11,uniform,manhattan,0.7416829745596869,0.6953125
11,uniform,chebyshev,0.700587084148728,0.6953125
11,uniform,minkowski,0.7416829745596869,0.6875
11,distance,euclidean,1.0,0.703125
11,distance,manhattan,1.0,0.7265625
11,distance,chebyshev,1.0,0.7109375
11,distance,minkowski,1.0,0.703125
12,uniform,euclidean,0.7377690802348337,0.671875
12,uniform,manhattan,0.7397260273972602,0.703125
12,uniform,chebyshev,0.6868884540117417,0.6953125
12,uniform,minkowski,0.7377690802348337,0.671875
12,distance,euclidean,1.0,0.703125
12,distance,manhattan,1.0,0.7109375
12,distance,chebyshev,1.0,0.703125
12,distance,minkowski,1.0,0.703125
13,uniform,euclidean,0.7475538160469667,0.6875
13,uniform,manhattan,0.7338551859099804,0.671875
13,uniform,chebyshev,0.6829745596868885,0.7109375
13,uniform,minkowski,0.7475538160469667,0.6875
13,distance,euclidean,1.0,0.6953125
13,distance,manhattan,1.0,0.7109375
13,distance,chebyshev,1.0,0.734375
13,distance,minkowski,1.0,0.6953125
14,uniform,euclidean,0.7318982387475538,0.7265625
14,uniform,manhattan,0.7377690802348337,0.71875
14,uniform,chebyshev,0.6692759295499021,0.6953125
14,uniform,minkowski,0.7318982387475538,0.7265625
14,distance,euclidean,1.0,0.703125
14,distance,manhattan,1.0,0.7109375
14,distance,chebyshev,1.0,0.7265625
14,distance,minkowski,1.0,0.703125
15,uniform,euclidean,0.7221135029354208,0.6796875
15,uniform,manhattan,0.7416829745596869,0.6953125
15,uniform,chebyshev,0.6731898238747553,0.6875
15,uniform,minkowski,0.7221135029354208,0.6796875
15,distance,euclidean,1.0,0.7265625
15,distance,manhattan,1.0,0.71875
15,distance,chebyshev,1.0,0.7109375
15,distance,minkowski,1.0,0.7265625
16,uniform,euclidean,0.7181996086105675,0.734375
16,uniform,manhattan,0.7338551859099804,0.7265625
16,uniform,chebyshev,0.6594911937377691,0.6875
16,uniform,minkowski,0.7181996086105675,0.734375
16,distance,euclidean,1.0,0.7265625
16,distance,manhattan,1.0,0.7109375
16,distance,chebyshev,1.0,0.7109375
16,distance,minkowski,1.0,0.7265625
17,uniform,euclidean,0.7201565557729941,0.6640625
17,uniform,manhattan,0.735812133072407,0.7109375
17,uniform,chebyshev,0.6653620352250489,0.6953125
17,uniform,minkowski,0.7201565557729941,0.6640625
17,distance,euclidean,1.0,0.71875
17,distance,manhattan,1.0,0.734375
17,distance,chebyshev,1.0,0.7265625
17,distance,minkowski,1.0,0.71875
18,uniform,euclidean,0.700587084148728,0.703125
18,uniform,manhattan,0.7142857142857143,0.7265625
18,uniform,chebyshev,0.6536203522504892,0.6875
18,uniform,minkowski,0.700587084148728,0.703125
18,distance,euclidean,1.0,0.6953125
18,distance,manhattan,1.0,0.7109375
18,distance,chebyshev,1.0,0.7265625
18,distance,minkowski,1.0,0.6953125
19,uniform,euclidean,0.7084148727984344,0.6953125
19,uniform,manhattan,0.7181996086105675,0.7109375
19,uniform,chebyshev,0.6731898238747553,0.6875
19,uniform,minkowski,0.7084148727984344,0.6953125
19,distance,euclidean,1.0,0.6953125
19,distance,manhattan,1.0,0.7265625
19,distance,chebyshev,1.0,0.71875
19,distance,minkowski,1.0,0.6953125
20,uniform,euclidean,0.7045009784735812,0.71875
20,uniform,manhattan,0.7162426614481409,0.7265625
20,uniform,chebyshev,0.6692759295499021,0.671875
20,uniform,minkowski,0.7045009784735812,0.71875
20,distance,euclidean,1.0,0.703125
20,distance,manhattan,1.0,0.71875
20,distance,chebyshev,1.0,0.7109375
20,distance,minkowski,1.0,0.703125
