Chanel_Name,band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
Left,20,10,,2,1.0,1.0
Left,20,10,,5,1.0,1.0
Left,20,10,,10,1.0,1.0
Left,20,10,10.0,2,1.0,1.0
Left,20,10,10.0,5,1.0,1.0
Left,20,10,10.0,10,1.0,1.0
Left,20,10,20.0,2,1.0,1.0
Left,20,10,20.0,5,1.0,1.0
Left,20,10,20.0,10,1.0,1.0
Left,20,10,30.0,2,1.0,1.0
Left,20,10,30.0,5,1.0,1.0
Left,20,10,30.0,10,1.0,1.0
Left,20,10,40.0,2,1.0,1.0
Left,20,10,40.0,5,1.0,1.0
Left,20,10,40.0,10,1.0,1.0
Left,20,20,,2,1.0,1.0
Left,20,20,,5,1.0,1.0
Left,20,20,,10,1.0,1.0
Left,20,20,10.0,2,1.0,1.0
Left,20,20,10.0,5,1.0,1.0
Left,20,20,10.0,10,1.0,1.0
Left,20,20,20.0,2,1.0,1.0
Left,20,20,20.0,5,1.0,1.0
Left,20,20,20.0,10,1.0,1.0
Left,20,20,30.0,2,1.0,1.0
Left,20,20,30.0,5,1.0,1.0
Left,20,20,30.0,10,1.0,1.0
Left,20,20,40.0,2,1.0,1.0
Left,20,20,40.0,5,1.0,1.0
Left,20,20,40.0,10,1.0,1.0
Left,20,30,,2,1.0,1.0
Left,20,30,,5,1.0,1.0
Left,20,30,,10,1.0,1.0
Left,20,30,10.0,2,1.0,1.0
Left,20,30,10.0,5,1.0,1.0
Left,20,30,10.0,10,1.0,1.0
Left,20,30,20.0,2,1.0,1.0
Left,20,30,20.0,5,1.0,1.0
Left,20,30,20.0,10,1.0,1.0
Left,20,30,30.0,2,1.0,1.0
Left,20,30,30.0,5,1.0,1.0
Left,20,30,30.0,10,1.0,1.0
Left,20,30,40.0,2,1.0,1.0
Left,20,30,40.0,5,1.0,1.0
Left,20,30,40.0,10,1.0,1.0
Left,20,40,,2,1.0,1.0
Left,20,40,,5,1.0,1.0
Left,20,40,,10,1.0,1.0
Left,20,40,10.0,2,1.0,1.0
Left,20,40,10.0,5,1.0,1.0
Left,20,40,10.0,10,1.0,1.0
Left,20,40,20.0,2,1.0,1.0
Left,20,40,20.0,5,1.0,1.0
Left,20,40,20.0,10,1.0,1.0
Left,20,40,30.0,2,1.0,1.0
Left,20,40,30.0,5,1.0,1.0
Left,20,40,30.0,10,1.0,1.0
Left,20,40,40.0,2,1.0,1.0
Left,20,40,40.0,5,1.0,1.0
Left,20,40,40.0,10,1.0,1.0
Left,20,50,,2,1.0,1.0
Left,20,50,,5,1.0,1.0
Left,20,50,,10,1.0,1.0
Left,20,50,10.0,2,1.0,1.0
Left,20,50,10.0,5,1.0,1.0
Left,20,50,10.0,10,1.0,1.0
Left,20,50,20.0,2,1.0,1.0
Left,20,50,20.0,5,1.0,1.0
Left,20,50,20.0,10,1.0,1.0
Left,20,50,30.0,2,1.0,1.0
Left,20,50,30.0,5,1.0,1.0
Left,20,50,30.0,10,1.0,1.0
Left,20,50,40.0,2,1.0,1.0
Left,20,50,40.0,5,1.0,1.0
Left,20,50,40.0,10,1.0,1.0
Left,20,60,,2,1.0,1.0
Left,20,60,,5,1.0,1.0
Left,20,60,,10,1.0,1.0
Left,20,60,10.0,2,1.0,1.0
Left,20,60,10.0,5,1.0,1.0
Left,20,60,10.0,10,1.0,1.0
Left,20,60,20.0,2,1.0,1.0
Left,20,60,20.0,5,1.0,1.0
Left,20,60,20.0,10,1.0,1.0
Left,20,60,30.0,2,1.0,1.0
Left,20,60,30.0,5,1.0,1.0
Left,20,60,30.0,10,1.0,1.0
Left,20,60,40.0,2,1.0,1.0
Left,20,60,40.0,5,1.0,1.0
Left,20,60,40.0,10,1.0,1.0
Left,20,70,,2,1.0,1.0
Left,20,70,,5,1.0,1.0
Left,20,70,,10,1.0,1.0
Left,20,70,10.0,2,1.0,1.0
Left,20,70,10.0,5,1.0,1.0
Left,20,70,10.0,10,1.0,1.0
Left,20,70,20.0,2,1.0,1.0
Left,20,70,20.0,5,1.0,1.0
Left,20,70,20.0,10,1.0,1.0
Left,20,70,30.0,2,1.0,1.0
Left,20,70,30.0,5,1.0,1.0
Left,20,70,30.0,10,1.0,1.0
Left,20,70,40.0,2,1.0,1.0
Left,20,70,40.0,5,1.0,1.0
Left,20,70,40.0,10,1.0,1.0
Left,20,80,,2,1.0,1.0
Left,20,80,,5,1.0,1.0
Left,20,80,,10,1.0,1.0
Left,20,80,10.0,2,1.0,1.0
Left,20,80,10.0,5,1.0,1.0
Left,20,80,10.0,10,1.0,1.0
Left,20,80,20.0,2,1.0,1.0
Left,20,80,20.0,5,1.0,1.0
Left,20,80,20.0,10,1.0,1.0
Left,20,80,30.0,2,1.0,1.0
Left,20,80,30.0,5,1.0,1.0
Left,20,80,30.0,10,1.0,1.0
Left,20,80,40.0,2,1.0,1.0
Left,20,80,40.0,5,1.0,1.0
Left,20,80,40.0,10,1.0,1.0
Left,20,90,,2,1.0,1.0
Left,20,90,,5,1.0,1.0
Left,20,90,,10,1.0,1.0
Left,20,90,10.0,2,1.0,1.0
Left,20,90,10.0,5,1.0,1.0
Left,20,90,10.0,10,1.0,1.0
Left,20,90,20.0,2,1.0,1.0
Left,20,90,20.0,5,1.0,1.0
Left,20,90,20.0,10,1.0,1.0
Left,20,90,30.0,2,1.0,1.0
Left,20,90,30.0,5,1.0,1.0
Left,20,90,30.0,10,1.0,1.0
Left,20,90,40.0,2,1.0,1.0
Left,20,90,40.0,5,1.0,1.0
Left,20,90,40.0,10,1.0,1.0
Left,20,100,,2,1.0,1.0
Left,20,100,,5,1.0,1.0
Left,20,100,,10,1.0,1.0
Left,20,100,10.0,2,1.0,1.0
Left,20,100,10.0,5,1.0,1.0
Left,20,100,10.0,10,1.0,1.0
Left,20,100,20.0,2,1.0,1.0
Left,20,100,20.0,5,1.0,1.0
Left,20,100,20.0,10,1.0,1.0
Left,20,100,30.0,2,1.0,1.0
Left,20,100,30.0,5,1.0,1.0
Left,20,100,30.0,10,1.0,1.0
Left,20,100,40.0,2,1.0,1.0
Left,20,100,40.0,5,1.0,1.0
Left,20,100,40.0,10,1.0,1.0
