Chanel_Name,nbr_de_peak,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
Left,5,10,,2,1.0,1.0
Left,5,10,,5,0.9970631424375918,0.9883040935672515
Left,5,10,,10,1.0,1.0
Left,5,10,10.0,2,1.0,1.0
Left,5,10,10.0,5,1.0,1.0
Left,5,10,10.0,10,0.9911894273127754,0.9649122807017544
Left,5,10,20.0,2,1.0,1.0
Left,5,10,20.0,5,0.9970631424375918,0.9883040935672515
Left,5,10,20.0,10,1.0,1.0
Left,5,10,30.0,2,1.0,1.0
Left,5,10,30.0,5,0.9970631424375918,0.9883040935672515
Left,5,10,30.0,10,1.0,1.0
Left,5,10,40.0,2,1.0,1.0
Left,5,10,40.0,5,0.9970631424375918,0.9883040935672515
Left,5,10,40.0,10,1.0,1.0
Left,5,20,,2,1.0,1.0
Left,5,20,,5,0.9985315712187959,0.9824561403508771
Left,5,20,,10,0.9955947136563876,0.9707602339181286
Left,5,20,10.0,2,1.0,1.0
Left,5,20,10.0,5,1.0,1.0
Left,5,20,10.0,10,0.9926578560939795,0.9824561403508771
Left,5,20,20.0,2,1.0,1.0
Left,5,20,20.0,5,0.9985315712187959,0.9824561403508771
Left,5,20,20.0,10,0.9955947136563876,0.9707602339181286
Left,5,20,30.0,2,1.0,1.0
Left,5,20,30.0,5,0.9985315712187959,0.9824561403508771
Left,5,20,30.0,10,0.9955947136563876,0.9707602339181286
Left,5,20,40.0,2,1.0,1.0
Left,5,20,40.0,5,0.9985315712187959,0.9824561403508771
Left,5,20,40.0,10,0.9955947136563876,0.9707602339181286
Left,5,30,,2,1.0,1.0
Left,5,30,,5,0.9985315712187959,0.9824561403508771
Left,5,30,,10,0.9955947136563876,0.9707602339181286
Left,5,30,10.0,2,1.0,1.0
Left,5,30,10.0,5,1.0,1.0
Left,5,30,10.0,10,0.9955947136563876,0.9707602339181286
Left,5,30,20.0,2,1.0,1.0
Left,5,30,20.0,5,0.9985315712187959,0.9824561403508771
Left,5,30,20.0,10,0.9955947136563876,0.9707602339181286
Left,5,30,30.0,2,1.0,1.0
Left,5,30,30.0,5,0.9985315712187959,0.9824561403508771
Left,5,30,30.0,10,0.9955947136563876,0.9707602339181286
Left,5,30,40.0,2,1.0,1.0
Left,5,30,40.0,5,0.9985315712187959,0.9824561403508771
Left,5,30,40.0,10,0.9955947136563876,0.9707602339181286
Left,5,40,,2,1.0,1.0
Left,5,40,,5,1.0,1.0
Left,5,40,,10,0.9970631424375918,0.9883040935672515
Left,5,40,10.0,2,1.0,1.0
Left,5,40,10.0,5,1.0,1.0
Left,5,40,10.0,10,0.9970631424375918,0.9883040935672515
Left,5,40,20.0,2,1.0,1.0
Left,5,40,20.0,5,1.0,1.0
Left,5,40,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,40,30.0,2,1.0,1.0
Left,5,40,30.0,5,1.0,1.0
Left,5,40,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,40,40.0,2,1.0,1.0
Left,5,40,40.0,5,1.0,1.0
Left,5,40,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,50,,2,1.0,1.0
Left,5,50,,5,1.0,1.0
Left,5,50,,10,0.9970631424375918,0.9883040935672515
Left,5,50,10.0,2,1.0,1.0
Left,5,50,10.0,5,1.0,1.0
Left,5,50,10.0,10,0.9970631424375918,0.9883040935672515
Left,5,50,20.0,2,1.0,1.0
Left,5,50,20.0,5,1.0,1.0
Left,5,50,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,50,30.0,2,1.0,1.0
Left,5,50,30.0,5,1.0,1.0
Left,5,50,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,50,40.0,2,1.0,1.0
Left,5,50,40.0,5,1.0,1.0
Left,5,50,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,60,,2,1.0,1.0
Left,5,60,,5,1.0,1.0
Left,5,60,,10,0.9970631424375918,0.9883040935672515
Left,5,60,10.0,2,1.0,1.0
Left,5,60,10.0,5,1.0,1.0
Left,5,60,10.0,10,0.9970631424375918,0.9883040935672515
Left,5,60,20.0,2,1.0,1.0
Left,5,60,20.0,5,1.0,1.0
Left,5,60,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,60,30.0,2,1.0,1.0
Left,5,60,30.0,5,1.0,1.0
Left,5,60,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,60,40.0,2,1.0,1.0
Left,5,60,40.0,5,1.0,1.0
Left,5,60,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,70,,2,1.0,1.0
Left,5,70,,5,1.0,1.0
Left,5,70,,10,0.9970631424375918,0.9883040935672515
Left,5,70,10.0,2,1.0,1.0
Left,5,70,10.0,5,1.0,1.0
Left,5,70,10.0,10,0.9970631424375918,0.9883040935672515
Left,5,70,20.0,2,1.0,1.0
Left,5,70,20.0,5,1.0,1.0
Left,5,70,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,70,30.0,2,1.0,1.0
Left,5,70,30.0,5,1.0,1.0
Left,5,70,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,70,40.0,2,1.0,1.0
Left,5,70,40.0,5,1.0,1.0
Left,5,70,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,80,,2,1.0,1.0
Left,5,80,,5,1.0,1.0
Left,5,80,,10,0.9970631424375918,0.9883040935672515
Left,5,80,10.0,2,1.0,1.0
Left,5,80,10.0,5,1.0,1.0
Left,5,80,10.0,10,1.0,1.0
Left,5,80,20.0,2,1.0,1.0
Left,5,80,20.0,5,1.0,1.0
Left,5,80,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,80,30.0,2,1.0,1.0
Left,5,80,30.0,5,1.0,1.0
Left,5,80,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,80,40.0,2,1.0,1.0
Left,5,80,40.0,5,1.0,1.0
Left,5,80,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,90,,2,1.0,1.0
Left,5,90,,5,1.0,1.0
Left,5,90,,10,0.9970631424375918,0.9883040935672515
Left,5,90,10.0,2,1.0,1.0
Left,5,90,10.0,5,1.0,1.0
Left,5,90,10.0,10,0.9970631424375918,0.9883040935672515
Left,5,90,20.0,2,1.0,1.0
Left,5,90,20.0,5,1.0,1.0
Left,5,90,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,90,30.0,2,1.0,1.0
Left,5,90,30.0,5,1.0,1.0
Left,5,90,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,90,40.0,2,1.0,1.0
Left,5,90,40.0,5,1.0,1.0
Left,5,90,40.0,10,0.9970631424375918,0.9883040935672515
Left,5,100,,2,1.0,1.0
Left,5,100,,5,1.0,1.0
Left,5,100,,10,0.9970631424375918,0.9883040935672515
Left,5,100,10.0,2,1.0,1.0
Left,5,100,10.0,5,1.0,1.0
Left,5,100,10.0,10,1.0,1.0
Left,5,100,20.0,2,1.0,1.0
Left,5,100,20.0,5,1.0,1.0
Left,5,100,20.0,10,0.9970631424375918,0.9883040935672515
Left,5,100,30.0,2,1.0,1.0
Left,5,100,30.0,5,1.0,1.0
Left,5,100,30.0,10,0.9970631424375918,0.9883040935672515
Left,5,100,40.0,2,1.0,1.0
Left,5,100,40.0,5,1.0,1.0
Left,5,100,40.0,10,0.9970631424375918,0.9883040935672515
