n_mfcc,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
30,80,10.0,5,0.9937238493723849,0.6583333333333333
30,70,30.0,10,0.9665271966527197,0.65
30,70,20.0,10,0.9665271966527197,0.65
30,70,,10,0.9665271966527197,0.65
30,70,40.0,10,0.9665271966527197,0.65
30,90,,2,1.0,0.6416666666666667
30,80,20.0,10,0.9686192468619247,0.6416666666666667
30,90,30.0,2,1.0,0.6416666666666667
30,90,20.0,2,1.0,0.6416666666666667
30,90,40.0,2,1.0,0.6416666666666667
30,80,,10,0.9686192468619247,0.6416666666666667
30,80,30.0,10,0.9686192468619247,0.6416666666666667
30,80,40.0,10,0.9686192468619247,0.6416666666666667
30,90,,10,0.9665271966527197,0.6333333333333333
30,100,10.0,5,0.99581589958159,0.6333333333333333
30,100,,5,1.0,0.6333333333333333
30,90,40.0,10,0.9665271966527197,0.6333333333333333
30,90,10.0,5,0.9937238493723849,0.6333333333333333
30,20,40.0,2,0.997907949790795,0.6333333333333333
30,90,20.0,10,0.9665271966527197,0.6333333333333333
30,90,30.0,10,0.9665271966527197,0.6333333333333333
30,20,30.0,2,0.997907949790795,0.6333333333333333
30,30,10.0,5,0.9874476987447699,0.6333333333333333
30,20,20.0,2,0.997907949790795,0.6333333333333333
30,100,40.0,5,1.0,0.6333333333333333
30,20,10.0,5,0.9874476987447699,0.6333333333333333
30,100,20.0,5,1.0,0.6333333333333333
30,100,30.0,5,1.0,0.6333333333333333
30,20,,2,0.997907949790795,0.6333333333333333
30,100,,2,1.0,0.625
30,40,10.0,5,0.9895397489539749,0.625
30,100,30.0,2,1.0,0.625
30,80,10.0,2,0.997907949790795,0.625
30,100,20.0,2,1.0,0.625
30,80,,2,1.0,0.625
30,70,10.0,5,0.9937238493723849,0.625
30,80,20.0,2,1.0,0.625
30,80,30.0,2,1.0,0.625
30,80,40.0,2,1.0,0.625
30,100,40.0,2,1.0,0.625
30,50,40.0,10,0.9623430962343096,0.6166666666666667
30,50,,10,0.9623430962343096,0.6166666666666667
30,40,40.0,10,0.9665271966527197,0.6166666666666667
30,50,30.0,10,0.9623430962343096,0.6166666666666667
30,50,10.0,5,0.99581589958159,0.6166666666666667
30,40,40.0,2,1.0,0.6166666666666667
30,40,30.0,10,0.9665271966527197,0.6166666666666667
30,40,30.0,2,1.0,0.6166666666666667
30,40,20.0,10,0.9665271966527197,0.6166666666666667
30,90,10.0,2,1.0,0.6166666666666667
30,50,20.0,10,0.9623430962343096,0.6166666666666667
30,60,10.0,5,0.9937238493723849,0.6166666666666667
30,100,40.0,10,0.9707112970711297,0.6166666666666667
30,40,20.0,2,1.0,0.6166666666666667
30,30,30.0,10,0.9581589958158996,0.6166666666666667
30,30,,10,0.9581589958158996,0.6166666666666667
30,20,10.0,2,0.9937238493723849,0.6166666666666667
30,30,20.0,2,1.0,0.6166666666666667
30,100,,10,0.9707112970711297,0.6166666666666667
30,30,20.0,10,0.9581589958158996,0.6166666666666667
30,100,20.0,10,0.9707112970711297,0.6166666666666667
30,30,30.0,2,1.0,0.6166666666666667
30,40,,10,0.9665271966527197,0.6166666666666667
30,30,40.0,2,1.0,0.6166666666666667
30,30,40.0,10,0.9581589958158996,0.6166666666666667
30,40,,2,1.0,0.6166666666666667
30,100,30.0,10,0.9707112970711297,0.6166666666666667
30,30,,2,1.0,0.6166666666666667
30,60,30.0,10,0.9623430962343096,0.6083333333333333
30,60,20.0,10,0.9623430962343096,0.6083333333333333
30,80,30.0,5,1.0,0.6083333333333333
30,20,10.0,10,0.9351464435146444,0.6083333333333333
30,60,40.0,10,0.9623430962343096,0.6083333333333333
30,20,,10,0.9393305439330544,0.6083333333333333
30,80,20.0,5,1.0,0.6083333333333333
30,60,10.0,10,0.9581589958158996,0.6083333333333333
30,70,10.0,2,0.997907949790795,0.6083333333333333
30,70,10.0,10,0.9602510460251046,0.6083333333333333
30,80,,5,1.0,0.6083333333333333
30,20,20.0,10,0.9393305439330544,0.6083333333333333
30,40,10.0,2,0.997907949790795,0.6083333333333333
30,60,,10,0.9623430962343096,0.6083333333333333
30,20,30.0,10,0.9393305439330544,0.6083333333333333
30,20,40.0,10,0.9393305439330544,0.6083333333333333
30,50,40.0,2,1.0,0.6083333333333333
30,50,30.0,2,1.0,0.6083333333333333
30,50,20.0,2,1.0,0.6083333333333333
30,80,40.0,5,1.0,0.6083333333333333
30,50,,2,1.0,0.6083333333333333
30,50,10.0,2,0.99581589958159,0.6
30,10,,10,0.895397489539749,0.6
30,10,10.0,5,0.9351464435146444,0.6
30,10,20.0,10,0.895397489539749,0.6
30,10,40.0,10,0.895397489539749,0.6
30,50,10.0,10,0.9665271966527197,0.6
30,10,30.0,10,0.895397489539749,0.6
30,100,10.0,10,0.9581589958158996,0.5916666666666667
30,90,30.0,5,0.997907949790795,0.5916666666666667
30,90,40.0,5,0.997907949790795,0.5916666666666667
30,90,20.0,5,0.997907949790795,0.5916666666666667
30,90,,5,0.997907949790795,0.5916666666666667
30,100,10.0,2,1.0,0.5916666666666667
30,10,,2,0.9832635983263598,0.5916666666666667
30,60,,2,1.0,0.5916666666666667
30,10,40.0,2,0.9832635983263598,0.5916666666666667
30,60,20.0,2,1.0,0.5916666666666667
30,60,30.0,2,1.0,0.5916666666666667
30,60,40.0,2,1.0,0.5916666666666667
30,70,,2,1.0,0.5916666666666667
30,70,40.0,2,1.0,0.5916666666666667
30,10,30.0,2,0.9832635983263598,0.5916666666666667
30,70,20.0,2,1.0,0.5916666666666667
30,10,20.0,2,0.9832635983263598,0.5916666666666667
30,70,30.0,2,1.0,0.5916666666666667
30,90,10.0,10,0.9623430962343096,0.5833333333333334
30,30,10.0,2,0.99581589958159,0.5833333333333334
30,30,10.0,10,0.9456066945606695,0.5833333333333334
30,10,10.0,10,0.8786610878661087,0.5833333333333334
30,30,20.0,5,0.997907949790795,0.5833333333333334
30,30,30.0,5,0.997907949790795,0.5833333333333334
30,30,40.0,5,0.997907949790795,0.5833333333333334
30,30,,5,0.997907949790795,0.5833333333333334
30,70,40.0,5,0.997907949790795,0.5833333333333334
30,70,30.0,5,0.997907949790795,0.5833333333333334
30,70,20.0,5,0.997907949790795,0.5833333333333334
30,70,,5,0.997907949790795,0.5833333333333334
30,80,10.0,10,0.9644351464435147,0.5833333333333334
30,60,10.0,2,0.997907949790795,0.5833333333333334
30,50,20.0,5,0.997907949790795,0.575
30,50,30.0,5,0.997907949790795,0.575
30,50,40.0,5,0.997907949790795,0.575
30,40,10.0,10,0.9581589958158996,0.575
30,50,,5,0.997907949790795,0.575
30,60,30.0,5,0.99581589958159,0.5666666666666667
30,60,40.0,5,0.99581589958159,0.5666666666666667
30,60,20.0,5,0.99581589958159,0.5666666666666667
30,60,,5,0.99581589958159,0.5666666666666667
30,40,,5,0.99581589958159,0.5583333333333333
30,40,20.0,5,0.99581589958159,0.5583333333333333
30,40,30.0,5,0.99581589958159,0.5583333333333333
30,10,10.0,2,0.9728033472803347,0.5583333333333333
30,40,40.0,5,0.99581589958159,0.5583333333333333
30,20,40.0,5,0.9937238493723849,0.55
30,20,30.0,5,0.9937238493723849,0.55
30,20,20.0,5,0.9937238493723849,0.55
30,20,,5,0.9937238493723849,0.55
30,10,40.0,5,0.9623430962343096,0.5
30,10,,5,0.9623430962343096,0.5
30,10,30.0,5,0.9623430962343096,0.5
30,10,20.0,5,0.9623430962343096,0.5
